,Unnamed: 0,id,created_at,date,time,tweet,sentiment_label,sentiment_score
0,0,1430303911487762438,2021-08-24 23:00:00+00:00,2021-08-24,23:00:00,Türkiye'nin Yapay Zeka Stratejisi... Ulusal Yapay Zeka Stratejisi Bilişim Vadisi'nde tanıtıldı  https://t.co/zIFA33C8Ij,negative,0.6704
1,1,1430296179934470146,2021-08-24 22:29:17+00:00,2021-08-24,22:29:17,Açıklanan Türkiye Yapay Zeka Stratejisi ile ilgili   ⁦@fusunnebil⁩ çok güzel bir değerlendirme yapmış.   #yapayzekastratejisi #yapayzeka #strateji #dijltaltürkiye #dijitalvatan #dijitaltürkiyetv  https://t.co/BXdPUyaEWO,positive,0.9017
2,2,1430291373366857736,2021-08-24 22:10:11+00:00,2021-08-24,22:10:11,"@ZB6868 @firstjedii @varank Bence biraz absürd bir düşünce bu :)  Yapay zeka şuan hayatımızda zaten mevcut aslında... Bir çok alanda da kullanıyoruz.   Bizim insanımızın aklına Yapay Zeka diyince, insansı robotlar geliyor... Ama bu öyle bir şey değil.   Otonom temelli bir yapay zeka stratejisi konuşuluyor:)",positive,0.999
3,3,1430289767976116229,2021-08-24 22:03:48+00:00,2021-08-24,22:03:48,Türkiye’nin İlk Ulusal Yapay Zeka Stratejisi açıklandı  https://t.co/pc2kxU5maq,positive,0.5813
4,4,1430279189106675716,2021-08-24 21:21:46+00:00,2021-08-24,21:21:46,Türkiye'nin İlk Ulusal Yapay Zeka Stratejisi açıklandı  https://t.co/TpoMMdwlnh #Ogretmenler.net @ogretmenlernet aracılığıyla,negative,0.687
5,5,1430277484822421504,2021-08-24 21:15:00+00:00,2021-08-24,21:15:00,Füsun Sarp Nebil yazdı:  Yapay zekâ stratejisi güzel ama altyapısı yok  https://t.co/Lm8ZFKjMgp  https://t.co/EDrJo8mWVu,negative,0.9978
6,6,1430277433429741579,2021-08-24 21:14:48+00:00,2021-08-24,21:14:48,Ulusal Yapay Zeka Stratejisi 🇹🇷,positive,0.8195
7,7,1430273388061204480,2021-08-24 20:58:43+00:00,2021-08-24,20:58:43,Ulusal Yapay Zeka Stratejisi Özel Yayını - 24 TV  https://t.co/1jtCYhN2OT,positive,0.8976
8,8,1430273376216514560,2021-08-24 20:58:40+00:00,2021-08-24,20:58:40,Ulusal Yapay Zeka Stratejisi Özel Yayını - 24 TV  https://t.co/ta2HiKNAyB,positive,0.8656
9,9,1430271574519713792,2021-08-24 20:51:31+00:00,2021-08-24,20:51:31,Türkiye’nin İlk Ulusal Yapay Zeka Stratejisi açıklandı  https://t.co/k5FPUeDOPn,positive,0.6622
10,10,1430270021385822208,2021-08-24 20:45:20+00:00,2021-08-24,20:45:20,"BİLİŞİM VADİSİ'NDE TANITILDI  Cumhurbaşkanlığı Dijital Dönüşüm Ofisi Başkanlığı ile Sanayi ve Teknoloji Bakanlığı tarafından hazırlanan, Türkiye'nin 5 yıllık dönemdeki yapay zeka çalışmalarına yön verecek ilk ""ulusal yapay zeka stratejisi"" kamuoyuna tanıtıldı.  https://t.co/LpZceeoN6A",positive,0.8923
11,11,1430266493892276225,2021-08-24 20:31:19+00:00,2021-08-24,20:31:19,"Türkiye, yapay zekâ stratejisini yayımlayan ülkeler arasında yerini aldı! 🇹🇷Türkiye’nin ilk “Ulusal Yapay Zekâ Stratejisi” yayımlandı. Ülkemize hayırlı olsun.👏🏻Teşekkürler @dijital   #YapayZekaÇağı  https://t.co/pSGZLl95KK",positive,0.9763
12,12,1430263505911955458,2021-08-24 20:19:27+00:00,2021-08-24,20:19:27,"Türkiye'nin 5 yıllık dönemdeki yapay zekâ çalışmalarına yön verecek ilk ""Ulusal Yapay Zekâ Stratejisi"" Bilişim Vadisi'nde kamuoyuna açıklandı.  https://t.co/OzS7v1sjxW",positive,0.8662
13,13,1430256422319763459,2021-08-24 19:51:18+00:00,2021-08-24,19:51:18,"#24Ağustos2021  ""Ulusal Yapay Zeka Stratejisi"" Bilişim Vadisi'nde kamuoyuna tanıtıldı.  ▶  https://t.co/AFF4zSNd3y #BrandingTürkiye #GününGündemi #Haberler #BrandingTürkiyeÖneriyor #DijitalDönüşümOfisi #YapayZekaStratejisi #SanayiVeTeknolojiBakanlığı #YapayZeka #Teknoloji  https://t.co/wXcbt0EeUB",positive,0.9225
14,14,1430255053424693256,2021-08-24 19:45:52+00:00,2021-08-24,19:45:52,Sabırla dinledim konuşmaları ve çok sığ buldum!  Ülkenin yapay zeka stratejisi ya da vizyonuna ilişkin tek bir cümle yok! Yapay zeka dediğiniz bir algoritma!  Ülke olarak ihtiyacımız olan şey milli bir İşletim Sistemi..!,negative,0.9994
15,15,1430254729381224451,2021-08-24 19:44:34+00:00,2021-08-24,19:44:34,"Ulusal Yapay Zeka Stratejisi yayınlanmış. Hayırlı olsun. İçinde araştırma, inovasyon, veri sözlüğü, altyapı, açık veri, veri güvenliği vb. dahil pek çok konu var. Bu tür dokümanlar kamu görüşüne sunulmalı ki “tüm paydaşlar” deyişi yerini bulsun.  https://t.co/O5zWPeREG2",positive,0.6023
16,16,1430249798922346500,2021-08-24 19:24:59+00:00,2021-08-24,19:24:59,"Ulusal Yapay Zeka Stratejisi Programı, savunma sanayiinde yapılanlar, İHA'lar, SİHA'lar, TOGG, sel-yangın afetlerinde gösterilen üstün gayretler, covid mücadelesinde ve aşılamadaki başarı, yenilenen/yeni hastaneler  ve daha neler neler... #UlkemiSeviyorum #DevletiminYanindayim",positive,0.9746
17,17,1430248627335798784,2021-08-24 19:20:20+00:00,2021-08-24,19:20:20,Türkiye'nin yapay zeka stratejisi belirlendi! #yapayzeka #türkiye #UYZS  https://t.co/9Xn1xr4d6u,positive,0.8846
18,18,1430248099990102021,2021-08-24 19:18:14+00:00,2021-08-24,19:18:14,Türkiye Yapay Zeka Stratejisi Tanıtım Töreni,negative,0.8156
19,19,1430247561026232326,2021-08-24 19:16:05+00:00,2021-08-24,19:16:05,@TCSanayi Bakanımız @varank Türkiye Yapay Zeka Stratejisi Tanıtım Töreni @NTV   ⚙️Yapay zeka tabanlı:       🚔 Trafik Radarı       📸 Mobil Plaka Tanıma Sistemi       🚗 Toyota Proje Ortağı olan  ⏳2 gün önce @teknopark_ist ziyaret ettiği Yüksek Teknoloji Girişimini örnek verdi😍  https://t.co/e5wExzO7KO,positive,0.8473
20,20,1430246235554951171,2021-08-24 19:10:49+00:00,2021-08-24,19:10:49,"#YapayZekaÇağı başlıyor 📣  🇹🇷 @udijital ve @TCSanayi işbirliği ile hazırlanan Türkiye'nin ilk Ulusal Yapay Zeka Stratejisi, Türkiye'nin @BilisimVadisiTR 'nde bugün saat 10.00’da açıklanacak.🦾  https://t.co/77mrhpH5GK",positive,0.9616
21,21,1430244766730657795,2021-08-24 19:04:59+00:00,2021-08-24,19:04:59,Türkiye'nin İlk Ulusal Yapay Zeka Stratejisi açıklandı  https://t.co/bFfhHPvaDc,positive,0.5828
22,22,1430243691143303171,2021-08-24 19:00:43+00:00,2021-08-24,19:00:43,Ulusal Yapay Zeka Stratejisi açıklandı  https://t.co/nt13EUt28V,negative,0.7487
23,23,1430239946372231168,2021-08-24 18:45:50+00:00,2021-08-24,18:45:50,Türkiye'nin ilk yapay zeka stratejisi açıklandı.  Bakan Varank 50 bin kişinin istihdam edileceğini söyledi  https://t.co/XqKxl3Xzdo,positive,0.8068
