,Unnamed: 0,id,created_at,date,time,tweet,sentiment_label,sentiment_score
5,5,1430277484822421504,2021-08-24 21:15:00+00:00,2021-08-24,21:15:00,Füsun Sarp Nebil yazdı:  Yapay zekâ stratejisi güzel ama altyapısı yok  https://t.co/Lm8ZFKjMgp  https://t.co/EDrJo8mWVu,negative,0.9978
14,14,1430255053424693256,2021-08-24 19:45:52+00:00,2021-08-24,19:45:52,Sabırla dinledim konuşmaları ve çok sığ buldum!  Ülkenin yapay zeka stratejisi ya da vizyonuna ilişkin tek bir cümle yok! Yapay zeka dediğiniz bir algoritma!  Ülke olarak ihtiyacımız olan şey milli bir İşletim Sistemi..!,negative,0.9994
35,35,1430212749519429635,2021-08-24 16:57:46+00:00,2021-08-24,16:57:46,"1 Yıl Önce de 1 Milyon Yazılımcı Yetiştireceğiz Denilmişti Nerede O Yazılımcılar? Yapay Zeka Stratejisi Açıklandı da Alt Yapı Nerede? Veri Merkezi Nerede? ) (Ciddiyet İsteyen Konularda Bile Gevşeklik; Olgudan Çok Uzak Algı, Tek Dertleri Oy...  https://t.co/QYWZXyz3k9",negative,0.9987
59,59,1430173539391451138,2021-08-24 14:21:57+00:00,2021-08-24,14:21:57,"Yapay zeka stratejisi dokümanına bakıyorduk. Yapay Zeka Daire Başkanlığını görünce durduk. Daire başkanı IBM Watson olsun. Makam odası, makam arabası, şoför, koruma, sekreter, çaycı, maaş, ikramiye, kıdem tazminatı istemez...  https://t.co/exdrA4udrU",negative,0.9912
105,105,1430127840532570115,2021-08-24 11:20:22+00:00,2021-08-24,11:20:22,"Yapay zeka stratejisi güzel bir girişim olabilir, tarafsız gözle bakayım belki gerçekten bir çaba vardır diye oturdum lansmanı izledim. Gözlemim: ya İngilizce NLP modellerine parmak ısırtan Türkçe modeller var ya da bakan bildiğin dublörle sohbet ediyor.",negative,0.9887
219,219,1430086544736538663,2021-08-24 08:36:16+00:00,2021-08-24,08:36:16,"Sizden, 'Ulusal yapay zeka' degil, ancak, 'Ulusal geri zeka' stratejisi çıkar! @varank",negative,0.9867
221,221,1430085795017330688,2021-08-24 08:33:17+00:00,2021-08-24,08:33:17,Ulusal Yapay Zeka Stratejisi/ İthal Yapay Zeka Stratejisi  https://t.co/TSKGLJLLWL,negative,0.9813
223,223,1430084739973664779,2021-08-24 08:29:06+00:00,2021-08-24,08:29:06,#YapayZekaÇağı na Hazırlanan ve amacı öncüleri arasında yer almak olan TÜRKİYE' min yapay zeka stratejisi hayırlı olsun,negative,0.9688
250,250,1430077077462659072,2021-08-24 07:58:39+00:00,2021-08-24,07:58:39,"Ulusal Yapay Zeka Stratejisi diye bakan Varank açıklama yapıyor medya konuşmayı kesiyor veya vermiyor bu nasıl bi kafa, zihniyet..#KabulEtmiyoruz #FaturaHepMillete",negative,0.9989
255,255,1430075226814128136,2021-08-24 07:51:18+00:00,2021-08-24,07:51:18,@erdl1971 Tribüne oynama temalı yapay zeka stratejisi.,negative,0.9905
271,271,1430071264056651777,2021-08-24 07:35:33+00:00,2021-08-24,07:35:33,@eurodolar1980x birisi Ulusal Yapay Zeka Stratejisi ni açıklıyor ötekisi mevcut işleyen sistemi bozuyor.,negative,0.9967
285,285,1430067921292775442,2021-08-24 07:22:16+00:00,2021-08-24,07:22:16,@BilalEksiTHY @TCSanayi Ulusal Yapay Zeka Stratejisi Tanıtım Programı  https://t.co/shcuXwtGxu  El alem #YapayZeka ile uğraşırken . Bizim yeni nesil #YapaySu ile gündemi ile uğraşıyor #HAMİDİYE,negative,0.9757
299,299,1430060737733570595,2021-08-24 06:53:43+00:00,2021-08-24,06:53:43,"Ulusal Yapay Zekâ Stratejisi; Yapay zekâ alanının GSYİH’ya katkısının % 5’e çıkarılması,yapay zekâ alanındaki istihdamın 50 bin kişiye yükseltilmesi,lisansüstü mezun sayısının 10 bin kişiye çıkarılması,Yerli ve millî yapay zekâ uygulamalarının kamu alımlarında önceliklendirilmesi",negative,0.9533
310,310,1429774654995042306,2021-08-23 11:56:56+00:00,2021-08-23,11:56:56,"Memleketimizin ne güzel baklanları var,  Çalışırken Yapay zeka stratejisi falan hazırlayan bakanımız boş vakitlerinde sosyal medyadan Türkçe dersi veriyor.",negative,0.9752
418,418,1429118405001502728,2021-08-21 16:29:14+00:00,2021-08-21,16:29:14,"Dünden bu yana özellikle bakıyorum. Çoğu teknoloji editörü yayımlanan Ulusal Yapay Zeka Stratejisi hakkında hiçbir kelam etmemiş. Ama bugün TÜBİTAK hakkında 2. defa servis edilen yalan haber bazılarının gündemine girmiş.  Yazık, bu muhaliflik değil ülkenin geleceğine düşmanlık.",negative,0.9986
472,472,1428739223880863755,2021-08-20 15:22:30+00:00,2021-08-20,15:22:30,"CHP(Din düşmanları, ateistler, komünistler) ve Meral Akşener'li IP'in(Milliyetçi sol) Müslümanların baş örtüsü ile uğraştığı Türkiye'den, Ulusal Yapay Zeka Stratejisi üreten Türkiye'ye. Hey yavrum, hey! Nerden nereye...",negative,0.9878
477,477,1428733382675021831,2021-08-20 14:59:17+00:00,2021-08-20,14:59:17,"Meral Akşener'in Kadınların kıyafetleri ile uğraştığı Türkiye'den, Ulusal Yapay Zeka Stratejisi üreten Türkiye'ye.  Nerden nereye...",negative,0.9982
479,479,1428722555851055105,2021-08-20 14:16:16+00:00,2021-08-20,14:16:16,"TÜBİTAK: Resmi Gazete'de yayınlanan Ulusal Yapay Zeka Stratejisi genelgesinin ardından Nedim Şener ""bana da bir zeka ayarlar mısınız"" diye sordu, fakat bunun mümkün olmadığını kendisine anlatamadık  O 10",negative,0.975
480,480,1428722405518843908,2021-08-20 14:15:40+00:00,2021-08-20,14:15:40,"TÜBİTAK: Resmi Gazete'de yayınlanan Ulusal Yapay Zeka Stratejisi genelgesinin ardından Nedim Şener ""bana da bir zeka ayarlar mısınız"" diye sordu, fakat bunun mümkün olmadığını kendisine anlatamadık",negative,0.9929
507,507,1428670199176339466,2021-08-20 10:48:13+00:00,2021-08-20,10:48:13,Yapay zeka stratejisi yayınlamış lisansüstü eğitimde 10k kişiden bahsediyorlar sizin teknolojik strateji geliştirme konusunda sorunlarınız var diploma fetisistliginiz yüzünden bı on yıl daha geriden geliriz,negative,0.9986
555,555,1428634161380839424,2021-08-20 08:25:01+00:00,2021-08-20,08:25:01,Bugün yayınlanan Türkiye Yapay Zeka stratejisi çok önemli . Türkiye'de üniversite bölüm kontenjanları ülke ihtiyaçlarına göre yeniden düzenlenmeli . Diplomalı işsizliğin nedenlerinden biri ihtiyaç fazlası kontenjan diğeri kalifiye eleman sorunu . #üniversitekontenjanları,negative,0.9905
582,582,1428625307540525059,2021-08-20 07:49:50+00:00,2021-08-20,07:49:50,"Ulusal yapay zeka stratejisi önemli bir adım olacaktır.Ancak siber güvenlik strateji belgelerinde olduğu gibi,ortaya konulan hedeflere ulaşılıp ulaşılmadığı,ulaşılmadıysa neden ulaşamadığı kamuoyuyla da paylaşılarak tetkik edilmezse,bu planlar yaptık işte tadından öteye gidemiyor",negative,0.999
634,634,1428603636859510786,2021-08-20 06:23:43+00:00,2021-08-20,06:23:43,"Ulusal Yapay Zeka Stratejisi Genelgesi"" (2021-2025) için son viraja girildi ve Ulusal Yapay Zeka Stratejisi Yönlendirme Kurulu kuruldu. Strateji, politika ve koordinasyon tamam, sırada hukuki altyapı var. Sadece YZ değil bütüncül olarak tüm BT düzenlemeleri reform edilmesi şart.",negative,0.9652
656,656,1428591314321481729,2021-08-20 05:34:45+00:00,2021-08-20,05:34:45,"Ulusal Yapay Zeka Stratejisi yayınlanmış resmi gazetede, tabela asıp paraları götürürler muhtemelen başka da bi bok olmaz.",negative,0.9897
